Date,Sender,Message
2024-11-05 15:40:44+00:00,1857201670,https://youtu.be/D65Xc8HF-uY
2024-10-31 02:29:44+00:00,1230265920,
2024-10-29 16:30:56+00:00,1230265920,"😎bina cigarette ko chuhe hum log peaky Blinders ki trah cigarettes phukte hai
🤡Delhi"
2024-10-29 15:19:45+00:00,1857201670,https://youtu.be/sNsy3QMTVbE
2024-10-28 14:35:29+00:00,1857201670,https://youtu.be/QYa_RQ5mAuY
2024-10-25 18:29:24+00:00,5480916310,Photo from Reddy
2024-10-25 03:17:25+00:00,1230265920,Aadhaar card is not a valid document to determine age: Supreme Court of India.
2024-10-25 03:11:35+00:00,1230265920,"Fno results on 26th October 

Icicibank 
Idfc"
2024-10-25 03:11:35+00:00,1230265920,"Fno stock results tomorrow 
Coalindia 
Jsw steel 
Dlf
Bel
Indigo
BPCL
Bank of Baroda 
Shriram fin
Torrent pharma 
Hpcl
Bandhan Bank"
2024-10-24 15:03:20+00:00,1857201670,https://youtu.be/liNlV2_PXII
2024-10-23 14:37:30+00:00,1857201670,https://youtu.be/ahf60ftMDUc
2024-10-22 05:26:41+00:00,6420357737,institutional selling will only increase from this point as profit pools continue to remain shallow. let the market correct under its own weight. buy when the risk reward is favorable again. nifty at 19-20K is a high possibility
2024-10-21 17:14:58+00:00,1857201670,https://youtu.be/COosyEkY46Q
2024-10-18 07:17:12+00:00,7337972407,"6% 💸🚀 sterling tools 
Learna and Earn 📊"
2024-10-17 15:15:34+00:00,1857201670,https://youtu.be/Bnu6ylAPeMY
2024-10-17 13:28:56+00:00,1154451749,
2024-10-16 15:54:55+00:00,616290864,Me alienware chodke tablet lene ki soch rha hu esa mst experience ata
2024-10-16 15:54:20+00:00,616290864,"Ha
Ya fir koi sasta tablet lelo mst
I prefer tab than laptop"
2024-10-16 15:45:38+00:00,1182160760,Mobile se krlo
2024-10-16 15:45:35+00:00,1182160760,Itne me laptop lene se accha
2024-10-16 15:34:41+00:00,1319487254,"I want to buy a laptop for trading and study, my budget is 15000rs, second hand bhi chala ga konsa Lana chahiye"
2024-10-16 15:27:20+00:00,7343682415,Ji
2024-10-16 14:59:02+00:00,1857201670,https://youtu.be/xPKVral4MmY
2024-10-15 15:35:30+00:00,1857201670,https://youtu.be/K-JVtiJJcIg
2024-10-14 15:06:06+00:00,1857201670,https://youtu.be/Ex0g5C6-RFA
2024-10-14 10:07:21+00:00,5049985049,Sure
2024-10-14 10:06:55+00:00,5403675379,"Greattttt...please check your dm, I am interested"
2024-10-14 10:05:56+00:00,5049985049,yes. Here are few stocks in that
2024-10-14 10:04:08+00:00,5403675379,"wow, do you have BMfocused smallcap as well?"
2024-10-14 10:03:29+00:00,796219728,I am not able to message you personally
2024-10-14 10:02:18+00:00,5049985049,yeah
2024-10-14 10:01:10+00:00,796219728,Hello
2024-10-14 10:00:25+00:00,5049985049,"I currently have 50+ smallcases available. If anyone is interested, I can offer them for a minimal fee (rebalance updates included). (Attaching the proof of few of them)"
2024-10-10 14:10:39+00:00,6054306478,https://newshaq.com/non-iit-non-cs-background-from-3rd-tier-collage-got-65-lakh-package-from-google/
2024-10-09 10:40:18+00:00,1857201670,https://youtu.be/kHy-Ul0WdKw
2024-10-08 15:56:57+00:00,508877687,"🔊🔊बड़ी खबर 🔊🔊

बुल्स की हालत में काफी सुधार, कुछ ही दिन में काम पर वापस लौटने की संभावना 😀😂😂"
2024-10-08 15:36:35+00:00,2067553710,That's what matters 😂
2024-10-08 15:36:26+00:00,2067553710,And earned also 😂
2024-10-08 15:36:06+00:00,2067553710,Proud narcissist 🤤
2024-10-08 14:17:16+00:00,1107407911,"Good job, you win 👏"
2024-10-08 14:16:42+00:00,1107407911,"Ohh, the Narcissistic audacity for attention.🤦"
2024-10-08 13:21:34+00:00,2067553710,2 months target given by bse in 24 hrs
2024-10-08 12:03:34+00:00,616290864,Good one
2024-10-08 10:35:42+00:00,1107407911,"Buy shalimar paints, at 128-130.
Target 150-155-160
SL below 125
Holding period 1-2 months"
2024-10-08 10:35:34+00:00,1107407911,Reversal and up 3%
2024-10-08 09:53:08+00:00,2067553710,He's right now in about 20% profit
2024-10-08 09:52:57+00:00,2067553710,If someone bought it yesterday
